,ACCOUNT_TAKEOVER,BANK_IMPERSONATION,CHARITY_SCAM,COURIER_FRAUD,DIGITAL_ARREST,ELECTRICITY_SCAM,FASTAG_SCAM,INVESTMENT_SCAM,JOB_SCAM,KYC_FRAUD,LOAN_SCAM,LOTTERY_SCAM,OTP_THEFT,PHISHING,POLICE_IMPERSONATION,SCHOLARSHIP_SCAM,TAX_REFUND_SCAM,UPI_FRAUD
ACCOUNT_TAKEOVER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANK_IMPERSONATION,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARITY_SCAM,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COURIER_FRAUD,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIGITAL_ARREST,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRICITY_SCAM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FASTAG_SCAM,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
INVESTMENT_SCAM,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
JOB_SCAM,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
KYC_FRAUD,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
LOAN_SCAM,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LOTTERY_SCAM,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
OTP_THEFT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
PHISHING,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
POLICE_IMPERSONATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SCHOLARSHIP_SCAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
TAX_REFUND_SCAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
UPI_FRAUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
