,precision,recall,f1-score,support
ACCOUNT_TAKEOVER,1.0,1.0,1.0,4.0
BANK_IMPERSONATION,1.0,1.0,1.0,4.0
CHARITY_SCAM,1.0,1.0,1.0,5.0
COURIER_FRAUD,1.0,1.0,1.0,5.0
DIGITAL_ARREST,1.0,1.0,1.0,5.0
ELECTRICITY_SCAM,1.0,1.0,1.0,5.0
FASTAG_SCAM,1.0,1.0,1.0,5.0
INVESTMENT_SCAM,1.0,1.0,1.0,5.0
JOB_SCAM,1.0,1.0,1.0,9.0
KYC_FRAUD,1.0,1.0,1.0,5.0
LOAN_SCAM,1.0,1.0,1.0,5.0
LOTTERY_SCAM,1.0,1.0,1.0,5.0
OTP_THEFT,1.0,1.0,1.0,4.0
PHISHING,1.0,1.0,1.0,5.0
POLICE_IMPERSONATION,1.0,1.0,1.0,5.0
SCHOLARSHIP_SCAM,1.0,1.0,1.0,5.0
TAX_REFUND_SCAM,1.0,1.0,1.0,5.0
UPI_FRAUD,1.0,1.0,1.0,5.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,91.0
weighted avg,1.0,1.0,1.0,91.0
